sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
4854;DHT22;3628;6.559;3.386;2024-03-01T00:21:20.778991+00:00;humidity;85.40
4854;DHT22;3628;6.559;3.386;2024-03-01T00:21:20.778991+00:00;temperature;31.30
4853;pms5003;3628;6.559;3.386;2024-03-01T00:22:11.718214+00:00;P2;21.50
4853;pms5003;3628;6.559;3.386;2024-03-01T00:22:11.718214+00:00;P1;28.00
4853;pms5003;3628;6.559;3.386;2024-03-01T00:22:11.718214+00:00;P0;16.00
4854;DHT22;3628;6.559;3.386;2024-03-01T00:22:24.945252+00:00;humidity;85.70
4854;DHT22;3628;6.559;3.386;2024-03-01T00:22:24.945252+00:00;temperature;31.30
4853;pms5003;3628;6.559;3.386;2024-03-01T00:23:15.959697+00:00;P2;26.75
4853;pms5003;3628;6.559;3.386;2024-03-01T00:23:15.959697+00:00;P1;30.25
4853;pms5003;3628;6.559;3.386;2024-03-01T00:23:15.959697+00:00;P0;18.50
4854;DHT22;3628;6.559;3.386;2024-03-01T00:23:29.636284+00:00;humidity;85.60
4854;DHT22;3628;6.559;3.386;2024-03-01T00:23:29.636284+00:00;temperature;31.30
4853;pms5003;3628;6.559;3.386;2024-03-01T00:24:20.547903+00:00;P2;25.75
4853;pms5003;3628;6.559;3.386;2024-03-01T00:24:20.547903+00:00;P1;25.75
4853;pms5003;3628;6.559;3.386;2024-03-01T00:24:20.547903+00:00;P0;18.00
4854;DHT22;3628;6.559;3.386;2024-03-01T00:24:34.182670+00:00;humidity;85.70
4854;DHT22;3628;6.559;3.386;2024-03-01T00:24:34.182670+00:00;temperature;31.30
4853;pms5003;3628;6.559;3.386;2024-03-01T00:25:25.141184+00:00;P2;26.67
4853;pms5003;3628;6.559;3.386;2024-03-01T00:25:25.141184+00:00;P1;28.67
4853;pms5003;3628;6.559;3.386;2024-03-01T00:25:25.141184+00:00;P0;20.00
4854;DHT22;3628;6.559;3.386;2024-03-01T00:25:38.595813+00:00;humidity;85.70
4854;DHT22;3628;6.559;3.386;2024-03-01T00:25:38.595813+00:00;temperature;31.30
4853;pms5003;3628;6.559;3.386;2024-03-01T00:26:32.801360+00:00;P2;28.50
4853;pms5003;3628;6.559;3.386;2024-03-01T00:26:32.801360+00:00;P1;29.00
4853;pms5003;3628;6.559;3.386;2024-03-01T00:26:32.801360+00:00;P0;20.00
4854;DHT22;3628;6.559;3.386;2024-03-01T00:26:46.914353+00:00;humidity;85.70
4854;DHT22;3628;6.559;3.386;2024-03-01T00:26:46.914353+00:00;temperature;31.30
4853;pms5003;3628;6.559;3.386;2024-03-01T00:27:39.627590+00:00;P2;26.25
4853;pms5003;3628;6.559;3.386;2024-03-01T00:27:39.627590+00:00;P1;27.50
4853;pms5003;3628;6.559;3.386;2024-03-01T00:27:39.627590+00:00;P0;18.50
4854;DHT22;3628;6.559;3.386;2024-03-01T00:27:57.981533+00:00;humidity;85.60
4854;DHT22;3628;6.559;3.386;2024-03-01T00:27:57.981533+00:00;temperature;31.30
4853;pms5003;3628;6.559;3.386;2024-03-01T00:29:11.607999+00:00;P2;28.40
4853;pms5003;3628;6.559;3.386;2024-03-01T00:29:11.607999+00:00;P1;30.00
4853;pms5003;3628;6.559;3.386;2024-03-01T00:29:11.607999+00:00;P0;19.40
4853;pms5003;3628;6.559;3.386;2024-03-01T00:30:01.551478+00:00;P2;30.00
4853;pms5003;3628;6.559;3.386;2024-03-01T00:30:01.551478+00:00;P1;34.00
4853;pms5003;3628;6.559;3.386;2024-03-01T00:30:01.551478+00:00;P0;20.00
4854;DHT22;3628;6.559;3.386;2024-03-01T00:30:14.758228+00:00;humidity;85.60
4854;DHT22;3628;6.559;3.386;2024-03-01T00:30:14.758228+00:00;temperature;31.30
4853;pms5003;3628;6.559;3.386;2024-03-01T00:31:06.405316+00:00;P2;29.50
4853;pms5003;3628;6.559;3.386;2024-03-01T00:31:06.405316+00:00;P1;31.50
4853;pms5003;3628;6.559;3.386;2024-03-01T00:31:06.405316+00:00;P0;21.00
4854;DHT22;3628;6.559;3.386;2024-03-01T00:31:20.062248+00:00;humidity;85.50
4854;DHT22;3628;6.559;3.386;2024-03-01T00:31:20.062248+00:00;temperature;31.30
4853;pms5003;3628;6.559;3.386;2024-03-01T00:32:14.982556+00:00;P2;30.00
4853;pms5003;3628;6.559;3.386;2024-03-01T00:32:14.982556+00:00;P1;33.00
4853;pms5003;3628;6.559;3.386;2024-03-01T00:32:14.982556+00:00;P0;21.00
4854;DHT22;3628;6.559;3.386;2024-03-01T00:32:28.898723+00:00;humidity;85.60
4854;DHT22;3628;6.559;3.386;2024-03-01T00:32:28.898723+00:00;temperature;31.30
4853;pms5003;3628;6.559;3.386;2024-03-01T00:33:19.971630+00:00;P2;29.00
4853;pms5003;3628;6.559;3.386;2024-03-01T00:33:19.971630+00:00;P1;34.50
4853;pms5003;3628;6.559;3.386;2024-03-01T00:33:19.971630+00:00;P0;20.00
4854;DHT22;3628;6.559;3.386;2024-03-01T00:33:33.380040+00:00;humidity;85.60
4854;DHT22;3628;6.559;3.386;2024-03-01T00:33:33.380040+00:00;temperature;31.30
4853;pms5003;3628;6.559;3.386;2024-03-01T00:34:24.458276+00:00;P2;30.50
4853;pms5003;3628;6.559;3.386;2024-03-01T00:34:24.458276+00:00;P1;35.50
4853;pms5003;3628;6.559;3.386;2024-03-01T00:34:24.458276+00:00;P0;21.00
4854;DHT22;3628;6.559;3.386;2024-03-01T00:34:38.121270+00:00;humidity;85.60
4854;DHT22;3628;6.559;3.386;2024-03-01T00:34:38.121270+00:00;temperature;31.30
4853;pms5003;3628;6.559;3.386;2024-03-01T00:35:29.219692+00:00;P2;26.25
4853;pms5003;3628;6.559;3.386;2024-03-01T00:35:29.219692+00:00;P1;29.25
4853;pms5003;3628;6.559;3.386;2024-03-01T00:35:29.219692+00:00;P0;19.25
4854;DHT22;3628;6.559;3.386;2024-03-01T00:35:43.259091+00:00;humidity;85.70
4854;DHT22;3628;6.559;3.386;2024-03-01T00:35:43.259091+00:00;temperature;31.30
4853;pms5003;3628;6.559;3.386;2024-03-01T00:36:34.788238+00:00;P2;27.00
4853;pms5003;3628;6.559;3.386;2024-03-01T00:36:34.788238+00:00;P1;30.00
4853;pms5003;3628;6.559;3.386;2024-03-01T00:36:34.788238+00:00;P0;20.00
4854;DHT22;3628;6.559;3.386;2024-03-01T00:36:47.979105+00:00;humidity;85.60
4854;DHT22;3628;6.559;3.386;2024-03-01T00:36:47.979105+00:00;temperature;31.30
4853;pms5003;3628;6.559;3.386;2024-03-01T00:37:42.276032+00:00;P2;25.67
4853;pms5003;3628;6.559;3.386;2024-03-01T00:37:42.276032+00:00;P1;28.67
4853;pms5003;3628;6.559;3.386;2024-03-01T00:37:42.276032+00:00;P0;19.00
4854;DHT22;3628;6.559;3.386;2024-03-01T00:37:55.877830+00:00;humidity;85.60
4854;DHT22;3628;6.559;3.386;2024-03-01T00:37:55.877830+00:00;temperature;31.30
4853;pms5003;3628;6.559;3.386;2024-03-01T00:38:46.861018+00:00;P2;23.67
4853;pms5003;3628;6.559;3.386;2024-03-01T00:38:46.861018+00:00;P1;27.33
4853;pms5003;3628;6.559;3.386;2024-03-01T00:38:46.861018+00:00;P0;17.33
4854;DHT22;3628;6.559;3.386;2024-03-01T00:39:00.258560+00:00;humidity;85.60
4854;DHT22;3628;6.559;3.386;2024-03-01T00:39:00.258560+00:00;temperature;31.30
4853;pms5003;3628;6.559;3.386;2024-03-01T00:39:51.215249+00:00;P2;27.00
4853;pms5003;3628;6.559;3.386;2024-03-01T00:39:51.215249+00:00;P1;29.00
4853;pms5003;3628;6.559;3.386;2024-03-01T00:39:51.215249+00:00;P0;17.33
4854;DHT22;3628;6.559;3.386;2024-03-01T00:40:04.442731+00:00;humidity;85.60
4854;DHT22;3628;6.559;3.386;2024-03-01T00:40:04.442731+00:00;temperature;31.30
4853;pms5003;3628;6.559;3.386;2024-03-01T00:40:55.379095+00:00;P2;28.00
4853;pms5003;3628;6.559;3.386;2024-03-01T00:40:55.379095+00:00;P1;30.40
4853;pms5003;3628;6.559;3.386;2024-03-01T00:40:55.379095+00:00;P0;18.60
4854;DHT22;3628;6.559;3.386;2024-03-01T00:41:08.626951+00:00;humidity;85.70
4854;DHT22;3628;6.559;3.386;2024-03-01T00:41:08.626951+00:00;temperature;31.30
4853;pms5003;3628;6.559;3.386;2024-03-01T00:41:59.665561+00:00;P2;27.00
4853;pms5003;3628;6.559;3.386;2024-03-01T00:41:59.665561+00:00;P1;31.00
4853;pms5003;3628;6.559;3.386;2024-03-01T00:41:59.665561+00:00;P0;17.50
4854;DHT22;3628;6.559;3.386;2024-03-01T00:42:12.857516+00:00;humidity;85.60
4854;DHT22;3628;6.559;3.386;2024-03-01T00:42:12.857516+00:00;temperature;31.30
4853;pms5003;3628;6.559;3.386;2024-03-01T00:43:06.233153+00:00;P2;25.67
4853;pms5003;3628;6.559;3.386;2024-03-01T00:43:06.233153+00:00;P1;27.33
4853;pms5003;3628;6.559;3.386;2024-03-01T00:43:06.233153+00:00;P0;18.00
4854;DHT22;3628;6.559;3.386;2024-03-01T00:43:19.678365+00:00;humidity;85.50
4854;DHT22;3628;6.559;3.386;2024-03-01T00:43:19.678365+00:00;temperature;31.30
4853;pms5003;3628;6.559;3.386;2024-03-01T00:44:10.598339+00:00;P2;29.40
4853;pms5003;3628;6.559;3.386;2024-03-01T00:44:10.598339+00:00;P1;31.00
4853;pms5003;3628;6.559;3.386;2024-03-01T00:44:10.598339+00:00;P0;20.00
4854;DHT22;3628;6.559;3.386;2024-03-01T00:44:23.907604+00:00;humidity;85.50
4854;DHT22;3628;6.559;3.386;2024-03-01T00:44:23.907604+00:00;temperature;31.30
4853;pms5003;3628;6.559;3.386;2024-03-01T00:45:14.755854+00:00;P2;27.00
4853;pms5003;3628;6.559;3.386;2024-03-01T00:45:14.755854+00:00;P1;28.50
4853;pms5003;3628;6.559;3.386;2024-03-01T00:45:14.755854+00:00;P0;19.00
4854;DHT22;3628;6.559;3.386;2024-03-01T00:45:28.059056+00:00;humidity;85.50
4854;DHT22;3628;6.559;3.386;2024-03-01T00:45:28.059056+00:00;temperature;31.30
4853;pms5003;3628;6.559;3.386;2024-03-01T00:46:19.178619+00:00;P2;25.00
4853;pms5003;3628;6.559;3.386;2024-03-01T00:46:19.178619+00:00;P1;27.50
4853;pms5003;3628;6.559;3.386;2024-03-01T00:46:19.178619+00:00;P0;18.00
4854;DHT22;3628;6.559;3.386;2024-03-01T00:46:33.039369+00:00;humidity;85.60
4854;DHT22;3628;6.559;3.386;2024-03-01T00:46:33.039369+00:00;temperature;31.30
4853;pms5003;3628;6.559;3.386;2024-03-01T00:47:24.300901+00:00;P2;25.00
4853;pms5003;3628;6.559;3.386;2024-03-01T00:47:24.300901+00:00;P1;26.00
4853;pms5003;3628;6.559;3.386;2024-03-01T00:47:24.300901+00:00;P0;20.00
4854;DHT22;3628;6.559;3.386;2024-03-01T00:47:37.499691+00:00;humidity;85.60
4854;DHT22;3628;6.559;3.386;2024-03-01T00:47:37.499691+00:00;temperature;31.30
4853;pms5003;3628;6.559;3.386;2024-03-01T00:48:31.579793+00:00;P2;25.00
4853;pms5003;3628;6.559;3.386;2024-03-01T00:48:31.579793+00:00;P1;26.00
4853;pms5003;3628;6.559;3.386;2024-03-01T00:48:31.579793+00:00;P0;18.00
4854;DHT22;3628;6.559;3.386;2024-03-01T00:48:46.622962+00:00;humidity;85.70
4854;DHT22;3628;6.559;3.386;2024-03-01T00:48:46.622962+00:00;temperature;31.30
4853;pms5003;3628;6.559;3.386;2024-03-01T00:49:37.697416+00:00;P2;28.00
4853;pms5003;3628;6.559;3.386;2024-03-01T00:49:37.697416+00:00;P1;32.50
4853;pms5003;3628;6.559;3.386;2024-03-01T00:49:37.697416+00:00;P0;19.00
4854;DHT22;3628;6.559;3.386;2024-03-01T00:49:51.064545+00:00;humidity;85.70
4854;DHT22;3628;6.559;3.386;2024-03-01T00:49:51.064545+00:00;temperature;31.30
4853;pms5003;3628;6.559;3.386;2024-03-01T00:50:42.638897+00:00;P2;29.50
4853;pms5003;3628;6.559;3.386;2024-03-01T00:50:42.638897+00:00;P1;34.50
4853;pms5003;3628;6.559;3.386;2024-03-01T00:50:42.638897+00:00;P0;19.50
4854;DHT22;3628;6.559;3.386;2024-03-01T00:50:56.103185+00:00;humidity;85.70
4854;DHT22;3628;6.559;3.386;2024-03-01T00:50:56.103185+00:00;temperature;31.30
4853;pms5003;3628;6.559;3.386;2024-03-01T00:51:47.199667+00:00;P2;28.00
4853;pms5003;3628;6.559;3.386;2024-03-01T00:51:47.199667+00:00;P1;29.50
4853;pms5003;3628;6.559;3.386;2024-03-01T00:51:47.199667+00:00;P0;20.00
4854;DHT22;3628;6.559;3.386;2024-03-01T00:52:00.559096+00:00;humidity;85.60
4854;DHT22;3628;6.559;3.386;2024-03-01T00:52:00.559096+00:00;temperature;31.30
4853;pms5003;3628;6.559;3.386;2024-03-01T00:52:51.623474+00:00;P2;27.50
4853;pms5003;3628;6.559;3.386;2024-03-01T00:52:51.623474+00:00;P1;31.00
4853;pms5003;3628;6.559;3.386;2024-03-01T00:52:51.623474+00:00;P0;19.00
4854;DHT22;3628;6.559;3.386;2024-03-01T00:53:04.858117+00:00;humidity;85.40
4854;DHT22;3628;6.559;3.386;2024-03-01T00:53:04.858117+00:00;temperature;31.30
4853;pms5003;3628;6.559;3.386;2024-03-01T00:53:58.145430+00:00;P2;26.67
4853;pms5003;3628;6.559;3.386;2024-03-01T00:53:58.145430+00:00;P1;29.00
4853;pms5003;3628;6.559;3.386;2024-03-01T00:53:58.145430+00:00;P0;19.00
4854;DHT22;3628;6.559;3.386;2024-03-01T00:54:11.280467+00:00;humidity;85.50
4854;DHT22;3628;6.559;3.386;2024-03-01T00:54:11.280467+00:00;temperature;31.30
4853;pms5003;3628;6.559;3.386;2024-03-01T00:55:02.657325+00:00;P2;23.33
4853;pms5003;3628;6.559;3.386;2024-03-01T00:55:02.657325+00:00;P1;27.67
4853;pms5003;3628;6.559;3.386;2024-03-01T00:55:02.657325+00:00;P0;17.67
4854;DHT22;3628;6.559;3.386;2024-03-01T00:55:17.090755+00:00;humidity;85.30
4854;DHT22;3628;6.559;3.386;2024-03-01T00:55:17.090755+00:00;temperature;31.30
4853;pms5003;3628;6.559;3.386;2024-03-01T00:56:08.222020+00:00;P2;25.00
4853;pms5003;3628;6.559;3.386;2024-03-01T00:56:08.222020+00:00;P1;25.67
4853;pms5003;3628;6.559;3.386;2024-03-01T00:56:08.222020+00:00;P0;19.00
4854;DHT22;3628;6.559;3.386;2024-03-01T00:56:21.436632+00:00;humidity;85.20
4854;DHT22;3628;6.559;3.386;2024-03-01T00:56:21.436632+00:00;temperature;31.30
4853;pms5003;3628;6.559;3.386;2024-03-01T00:57:12.999322+00:00;P2;30.00
4853;pms5003;3628;6.559;3.386;2024-03-01T00:57:12.999322+00:00;P1;34.00
4853;pms5003;3628;6.559;3.386;2024-03-01T00:57:12.999322+00:00;P0;19.00
4854;DHT22;3628;6.559;3.386;2024-03-01T00:57:26.281109+00:00;humidity;85.40
4854;DHT22;3628;6.559;3.386;2024-03-01T00:57:26.281109+00:00;temperature;31.30
4853;pms5003;3628;6.559;3.386;2024-03-01T00:58:17.983501+00:00;P2;26.00
4853;pms5003;3628;6.559;3.386;2024-03-01T00:58:17.983501+00:00;P1;28.00
4853;pms5003;3628;6.559;3.386;2024-03-01T00:58:17.983501+00:00;P0;19.00
4854;DHT22;3628;6.559;3.386;2024-03-01T00:58:31.577908+00:00;humidity;85.50
4854;DHT22;3628;6.559;3.386;2024-03-01T00:58:31.577908+00:00;temperature;31.30
4853;pms5003;3628;6.559;3.386;2024-03-01T00:59:25.436087+00:00;P2;30.00
4853;pms5003;3628;6.559;3.386;2024-03-01T00:59:25.436087+00:00;P1;34.00
4853;pms5003;3628;6.559;3.386;2024-03-01T00:59:25.436087+00:00;P0;19.00
4854;DHT22;3628;6.559;3.386;2024-03-01T00:59:39.111728+00:00;humidity;85.50
4854;DHT22;3628;6.559;3.386;2024-03-01T00:59:39.111728+00:00;temperature;31.30
4853;pms5003;3628;6.559;3.386;2024-03-01T01:00:31.474710+00:00;P2;30.75
4853;pms5003;3628;6.559;3.386;2024-03-01T01:00:31.474710+00:00;P1;34.25
4853;pms5003;3628;6.559;3.386;2024-03-01T01:00:31.474710+00:00;P0;21.50
4854;DHT22;3628;6.559;3.386;2024-03-01T01:00:44.822399+00:00;humidity;85.50
4854;DHT22;3628;6.559;3.386;2024-03-01T01:00:44.822399+00:00;temperature;31.30
4853;pms5003;3628;6.559;3.386;2024-03-01T01:01:37.683200+00:00;P2;28.67
4853;pms5003;3628;6.559;3.386;2024-03-01T01:01:37.683200+00:00;P1;30.33
4853;pms5003;3628;6.559;3.386;2024-03-01T01:01:37.683200+00:00;P0;18.00
4854;DHT22;3628;6.559;3.386;2024-03-01T01:01:52.504839+00:00;humidity;85.70
4854;DHT22;3628;6.559;3.386;2024-03-01T01:01:52.504839+00:00;temperature;31.20
4853;pms5003;3628;6.559;3.386;2024-03-01T01:02:45.734314+00:00;P2;27.00
4853;pms5003;3628;6.559;3.386;2024-03-01T01:02:45.734314+00:00;P1;30.00
4853;pms5003;3628;6.559;3.386;2024-03-01T01:02:45.734314+00:00;P0;18.00
4854;DHT22;3628;6.559;3.386;2024-03-01T01:02:59.394737+00:00;humidity;85.60
4854;DHT22;3628;6.559;3.386;2024-03-01T01:02:59.394737+00:00;temperature;31.30
4853;pms5003;3628;6.559;3.386;2024-03-01T01:03:52.150998+00:00;P2;26.00
4853;pms5003;3628;6.559;3.386;2024-03-01T01:03:52.150998+00:00;P1;29.50
4853;pms5003;3628;6.559;3.386;2024-03-01T01:03:52.150998+00:00;P0;19.50
4854;DHT22;3628;6.559;3.386;2024-03-01T01:04:06.554920+00:00;humidity;85.40
4854;DHT22;3628;6.559;3.386;2024-03-01T01:04:06.554920+00:00;temperature;31.30
4853;pms5003;3628;6.559;3.386;2024-03-01T01:05:01.057333+00:00;P2;27.00
4853;pms5003;3628;6.559;3.386;2024-03-01T01:05:01.057333+00:00;P1;32.50
4853;pms5003;3628;6.559;3.386;2024-03-01T01:05:01.057333+00:00;P0;19.00
4854;DHT22;3628;6.559;3.386;2024-03-01T01:05:14.310969+00:00;humidity;85.50
4854;DHT22;3628;6.559;3.386;2024-03-01T01:05:14.310969+00:00;temperature;31.20
4853;pms5003;3628;6.559;3.386;2024-03-01T01:06:12.504737+00:00;P2;27.50
4853;pms5003;3628;6.559;3.386;2024-03-01T01:06:12.504737+00:00;P1;29.50
4853;pms5003;3628;6.559;3.386;2024-03-01T01:06:12.504737+00:00;P0;19.00
4854;DHT22;3628;6.559;3.386;2024-03-01T01:06:26.999042+00:00;humidity;85.40
4854;DHT22;3628;6.559;3.386;2024-03-01T01:06:26.999042+00:00;temperature;31.30
4853;pms5003;3628;6.559;3.386;2024-03-01T01:07:32.686561+00:00;P2;24.00
4853;pms5003;3628;6.559;3.386;2024-03-01T01:07:32.686561+00:00;P1;29.50
